#------------------------------------------------------------------------------------------------------------------------------------------------------
#TYPE;    VARNAME;         REALM;     FREQUENCY;     TABLE;                     TEMPORAL_SHP;         SPATIAL_SHP;       EXPNAME;            MIP
#------------------------------------------------------------------------------------------------------------------------------------------------------
cmor;    phyfeos;       ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    physios;       ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    ppdiat;        ocnBgChem;     mon;           CMIP_Emon;                 time-mean;             XY-O;              ANY;                ANY
cmor;    ppmisc;        ocnBgChem;     mon;           CMIP_Emon;                 time-mean;             XY-O;              ANY;                ANY
cmor;    zo2min;        ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
cmor;    zsatcalc;      ocnBgChem;     mon;           CMIP_Omon;                 time-mean;             XY-na;              ANY;                ANY
extra;   xfracal;          ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   GRAZ1;            ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   GRAZ2;            ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   Nfix;             ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   MuN;              ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   MuD;              ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   LBDMS;            ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   FeP;              ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   pdust;            ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   Totlig;           ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   Biron;            ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   Dpn2o;            ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   Heup;             ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   N2O;              ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   N2Oflx;           ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   SCquotan;         ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   SCquotad;         ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
extra;   Yield;            ANY;     mon;        CNRM_HOMOImon;                       ANY;              ANY;               ANY;                ANY
