#------------------------------------------------------------------------------------------------------------------------------------------------------
#TYPE;    VARNAME;         REALM;     FREQUENCY;     TABLE;                     TEMPORAL_SHP;         SPATIAL_SHP;       EXPNAME;            MIP
#------------------------------------------------------------------------------------------------------------------------------------------------------
extra;   cltlidarradar; atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   tauisccp;      atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   meantbisccp;   atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   meantbclrisccp; atmos;      mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clhmodis;      atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   clmmodis;      atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   cllmodis;      atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   tautmodis;     atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   tauwmodis;     atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
extra;   tauimodis;     atmos;       mon;       CNRM_HOMALmon;                       ANY;              ANY;             ["amip","amip-4xCO2","amip-lwoff","amip-m4K","amip-p4K","amip-p4K-lwoff","aqua-4xCO2","aqua-p4K-lwoff","aqua-control-lwoff","aqua-control","aqua-p4K"];      ANY
